uni_id;uni_adi;sehir_id
1065;Abdullah Gül Üniversitesi;38
2001;Acıbadem Mehmet Ali Aydınlar Üniversitesi;34
1104;Adana Alparslan Türkeş Bilim Ve Teknoloji Üniversitesi;1
1002;Adıyaman Üniversitesi;2
1004;Afyon Kocatepe Üniversitesi;3
1126;Afyonkarahisar Sağlık Bilimleri Üniversitesi;3
1005;Ağrı İbrahim Çeçen Üniversitesi;4
1007;Akdeniz Üniversitesi;7
1008;Aksaray Üniversitesi;68
1105;Alanya Alaaddin Keykubat Üniversitesi;7
2069;Alanya Hamdullah Emin Paşa Üniversitesi;7
2029;Altınbaş Üniversitesi;34
1009;Amasya Üniversitesi;5
1010;Anadolu Üniversitesi;26
2095;Ankara Bilim Üniversitesi;6
1117;Ankara Hacı Bayram Veli Üniversitesi;6
2092;Ankara Medipol Üniversitesi;6
1109;Ankara Sosyal Bilimler Üniversitesi;6
1011;Ankara Üniversitesi;6
1100;Ankara Yıldırım Beyazıt Üniversitesi;6
2085;Antalya Akev Üniversitesi;7
2064;Antalya Bilim Üniversitesi;7
1012;Ardahan Üniversitesi;75
1013;Artvin Çoruh Üniversitesi;8
1014;Atatürk Üniversitesi;25
2002;Atılım Üniversitesi;6
2003;Avrasya Üniversitesi;61
1003;Aydın Adnan Menderes Üniversitesi;9
2005;Bahçeşehir Üniversitesi;34
1015;Balıkesir Üniversitesi;10
1106;Bandırma Onyedi Eylül Üniversitesi;10
1016;Bartın Üniversitesi;74
2006;Başkent Üniversitesi;6
1017;Batman Üniversitesi;72
1018;Bayburt Üniversitesi;69
2007;Beykent Üniversitesi;34
2008;Beykoz Üniversitesi;34
2009;Bezm-İ Âlem Vakıf Üniversitesi;34
1019;Bilecik Şeyh Edebali Üniversitesi;11
1020;Bingöl Üniversitesi;12
2076;Biruni Üniversitesi;34
1021;Bitlis Eren Üniversitesi;13
1022;Boğaziçi Üniversitesi;34
1001;Bolu Abant İzzet Baysal Üniversitesi;14
1073;Burdur Mehmet Akif Ersoy Üniversitesi;15
1024;Bursa Teknik Üniversitesi;16
1097;Bursa Uludağ Üniversitesi;16
2010;Çağ Üniversitesi;33
1027;Çanakkale Onsekiz Mart Üniversitesi;17
2011;Çankaya Üniversitesi;6
1028;Çankırı Karatekin Üniversitesi;18
1029;Çukurova Üniversitesi;1
2026;Demiroğlu Bilim Üniversitesi;34
1030;Dicle Üniversitesi;21
2012;Doğuş Üniversitesi;34
1031;Dokuz Eylül Üniversitesi;35
1033;Düzce Üniversitesi;81
1034;Ege Üniversitesi;35
1035;Erciyes Üniversitesi;38
1036;Erzincan Binali Yıldırım Üniversitesi;24
1037;Erzurum Teknik Üniversitesi;25
1038;Eskişehir Osmangazi Üniversitesi;26
1124;Eskişehir Teknik Üniversitesi;26
2014;Fatih Sultan Mehmet Vakıf Üniversitesi;34
2090;Fenerbahçe Üniversitesi;34
1039;Fırat Üniversitesi;23
1040;Galatasaray Üniversitesi;34
1041;Gazi Üniversitesi;6
1112;Gaziantep İslam Bilim Ve Teknoloji Üniversitesi;27
1042;Gaziantep Üniversitesi;27
1044;Gebze Teknik Üniversitesi;41
1045;Giresun Üniversitesi;28
1047;Gümüşhane Üniversitesi;29
1048;Hacettepe Üniversitesi;6
1049;Hakkari Üniversitesi;30
2019;Haliç Üniversitesi;34
1050;Harran Üniversitesi;63
2016;Hasan Kalyoncu Üniversitesi;27
1077;Hatay Mustafa Kemal Üniversitesi;31
1051;Hitit Üniversitesi;19
1052;Iğdır Üniversitesi;76
1125;Isparta Uygulamalı Bilimler Üniversitesi;32
2020;Işık Üniversitesi;34
2086;İbn Haldun Üniversitesi;34
2021;İhsan Doğramacı Bilkent Üniversitesi;6
1053;İnönü Üniversitesi;44
1107;İskenderun Teknik Üniversitesi;31
2022;İstanbul 29 Mayıs Üniversitesi;34
2023;İstanbul Arel Üniversitesi;34
2093;İstanbul Atlas Üniversitesi;34
2024;İstanbul Aydın Üniversitesi;34
2050;İstanbul Ayvansaray Üniversitesi;34
2025;İstanbul Bilgi Üniversitesi;34
2075;İstanbul Esenyurt Üniversitesi;34
2098;İstanbul Galata Üniversitesi;34
2017;İstanbul Gedik Üniversitesi;34
2027;İstanbul Gelişim Üniversitesi;34
2087;İstanbul Kent Üniversitesi;34
2030;İstanbul Kültür Üniversitesi;34
1054;İstanbul Medeniyet Üniversitesi;34
2031;İstanbul Medipol Üniversitesi;34
2047;İstanbul Okan Üniversitesi;34
2081;İstanbul Rumeli Üniversitesi;34
2032;İstanbul Sabahattin Zaim Üniversitesi;34
2094;İstanbul Sağlık Ve Teknoloji Üniversitesi;34
1055;İstanbul Teknik Üniversitesi;34
2034;İstanbul Ticaret Üniversitesi;34
1056;İstanbul Üniversitesi;34
1116;İstanbul Üniversitesi-Cerrahpaşa;34
2062;İstanbul Yeni Yüzyıl Üniversitesi;34
2084;İstinye Üniversitesi;34
1129;İzmir Bakırçay Üniversitesi;35
1111;İzmir Demokrasi Üniversitesi;35
2035;İzmir Ekonomi Üniversitesi;35
1057;İzmir Katip Çelebi Üniversitesi;35
2096;İzmir Tınaztepe Üniversitesi;35
1058;İzmir Yüksek Teknoloji Enstitüsü;35
2037;Kadir Has Üniversitesi;34
1059;Kafkas Üniversitesi;36
1122;Kahramanmaraş İstiklal Üniversitesi;46
1060;Kahramanmaraş Sütçü İmam Üniversitesi;46
2038;Kapadokya Üniversitesi;50
1061;Karabük Üniversitesi;78
1062;Karadeniz Teknik Üniversitesi;61
1063;Karamanoğlu Mehmetbey Üniversitesi;70
1064;Kastamonu Üniversitesi;37
1123;Kayseri Üniversitesi;38
1066;Kırıkkale Üniversitesi;71
1067;Kırklareli Üniversitesi;39
1006;Kırşehir Ahi Evran Üniversitesi;40
1068;Kilis 7 Aralık Üniversitesi;79
2097;Kocaeli Sağlık Ve Teknoloji Üniversitesi;41
1069;Kocaeli Üniversitesi;41
2039;Koç Üniversitesi;34
2083;Konya Gıda Ve Tarım Üniversitesi;42
1113;Konya Teknik Üniversitesi;42
2040;Kto Karatay Üniversitesi;42
1032;Kütahya Dumlupınar Üniversitesi;43
1114;Kütahya Sağlık Bilimleri Üniversitesi;43
2088;Lokman Hekim Üniversitesi;6
1115;Malatya Turgut Özal Üniversitesi;44
2041;Maltepe Üniversitesi;34
1025;Manisa Celâl Bayar Üniversitesi;45
1071;Mardin Artuklu Üniversitesi;47
1072;Marmara Üniversitesi;34
2072;Mef Üniversitesi;34
1074;Mersin Üniversitesi;33
1075;Mimar Sinan Güzel Sanatlar Üniversitesi;34
1076;Muğla Sıtkı Koçman Üniversitesi;48
1095;Munzur Üniversitesi;62
1078;Muş Alparslan Üniversitesi;49
1070;Necmettin Erbakan Üniversitesi;42
1080;Nevşehir Hacı Bektaş Veli Üniversitesi;50
1081;Niğde Ömer Halisdemir Üniversitesi;51
2045;Nişantaşı Üniversitesi;34
2046;Nuh Naci Yazgan Üniversitesi;38
1082;Ondokuz Mayıs Üniversitesi;55
1083;Ordu Üniversitesi;52
1084;Orta Doğu Teknik Üniversitesi;6
1085;Osmaniye Korkut Ata Üniversitesi;80
2091;Ostim Teknik Üniversitesi;6
2048;Özyeğin Üniversitesi;34
1086;Pamukkale Üniversitesi;20
2049;Piri Reis Üniversitesi;34
1087;Recep Tayyip Erdoğan Üniversitesi;53
2051;Sabancı Üniversitesi;34
1110;Sağlık Bilimleri Üniversitesi;34
1118;Sakarya Uygulamalı Bilimler Üniversitesi;54
1088;Sakarya Üniversitesi;54
1127;Samsun Üniversitesi;55
2077;Sanko Üniversitesi;27
1089;Selçuk Üniversitesi;42
1090;Siirt Üniversitesi;56
1091;Sinop Üniversitesi;57
1026;Sivas Cumhuriyet Üniversitesi;58
1092;Süleyman Demirel Üniversitesi;32
1093;Şırnak Üniversitesi;73
1120;Tarsus Üniversitesi;33
2067;Ted Üniversitesi;6
1079;Tekirdağ Namık Kemal Üniversitesi;59
2054;Tobb Ekonomi Ve Teknoloji Üniversitesi;6
1043;Tokat Gaziosmanpaşa Üniversitesi;60
2055;Toros Üniversitesi;33
1121;Trabzon Üniversitesi;61
1094;Trakya Üniversitesi;22
2057;Türk Hava Kurumu Üniversitesi;6
1096;Türk-Alman Üniversitesi;34
2058;Ufuk Üniversitesi;6
1098;Uşak Üniversitesi;64
2065;Üsküdar Üniversitesi;34
1102;Van Yüzüncü Yıl Üniversitesi;65
1099;Yalova Üniversitesi;77
2060;Yaşar Üniversitesi;35
2061;Yeditepe Üniversitesi;34
1101;Yıldız Teknik Üniversitesi;34
1023;Yozgat Bozok Üniversitesi;66
2079;Yüksek İhtisas Üniversitesi;6
1103;Zonguldak Bülent Ecevit Üniversitesi;67
3014;Ada Kent Üniversitesi;82
3006;Akdeniz Karpaz Üniversitesi;82
3016;Arkın Yaratıcı Sanatlar Ve Tasarım Üniversitesi;82
3017;Bahçeşehir Kıbrıs Üniversitesi;82
3001;Doğu Akdeniz Üniversitesi;82
3002;Girne Amerikan Üniversitesi;82
3007;Girne Üniversitesi;82
3009;Kıbrıs Amerikan Üniversitesi;82
3015;Kıbrıs Batı Üniversitesi;82
3008;Kıbrıs İlim Üniversitesi;82
3012;Kıbrıs Sağlık Ve Toplum Bilimleri Üniversitesi;82
3003;Lefke Avrupa Üniversitesi;82
3018;Rauf Denktaş Üniversitesi;82
3013;Uluslararası Final Üniversitesi;82
3005;Yakın Doğu Üniversitesi;82
3004;Uluslararası Kıbrıs Üniversitesi;82
4039;Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi;83
4052;Kırgızistan-Türkiye Manas Üniversitesi;83
4011;Azerbaycan Devlet Pedagoji Üniversitesi;83
4013;Azerbaycan Diller Üniversitesi;83
4017;Azerbaycan Tıp Üniversitesi;83
4020;Bakü Devlet Üniversitesi;83
4054;Komrat Devlet Üniversitesi;83
4088;Uluslararası Saraybosna Üniversitesi;83
4096;Uluslararası Balkan Üniversitesi;83